DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,MT,2017,35.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,MT,2018,35.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,MT,2019,33.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,MT,2020,40,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NL,2009,74.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NL,2010,73.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NL,2011,71.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NL,2012,69.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NL,2013,70.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NL,2014,70.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NL,2015,71.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NL,2016,72.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NL,2017,78.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NL,2018,79.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NL,2019,80.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NL,2020,76.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,NO,2009,53.1,
